ticker,company,fiscal_year,fiscal_period,period_end,form_type,filed_date,cash,financing_cash_flow,interest_expense,investing_cash_flow,long_term_debt,net_income,operating_cash_flow,operating_expenses,revenue,stockholders_equity,tax_expense,total_assets,total_liabilities,days_to_file,late_filing,revenue_yoy_pct,net_income_yoy_pct,operating_expenses_yoy_pct,total_assets_yoy_pct,profit_margin,debt_to_equity,cash_ratio,expense_ratio,expense_ratio_zscore,materiality_score,profit_margin_vs_peers
BLK,"BlackRock, Inc.",2025.0,Q1,2024-03-31,10-Q,2025-05-07,,1095000000.0,,-22000000.0,,1573000000.0,-408000000.0,3035000000.0,,,290000000.0,,,402,1,-0.44,-69.62,-73.58,,,,,,,50,
BLK,"BlackRock, Inc.",2025.0,Q3,2024-09-30,10-Q,2025-11-05,,,,,,1631000000.0,,3191000000.0,,,574000000.0,,,401,1,0.0,-70.36,-72.45,7.8,,,,,,50,
BLK,"BlackRock, Inc.",2025.0,FY,2024-12-31,10-K,2026-02-25,12762000000.0,2236000000.0,,-3004000000.0,12314000000.0,6369000000.0,4956000000.0,12833000000.0,,47495000000.0,1783000000.0,138615000000.0,89260000000.0,421,1,16.18,326.02000000000004,327.05,12.5,,0.2593,0.143,,,50,
C,CITIGROUP INC,2010.0,FY,2009-03-31,10-K,2011-02-25,,,,,,1593000000.0,,11685000000.0,24521000000.0,,835000000.0,,,696,1,-68.28,-55.96,-80.11,,0.065,,,0.4765,-0.6617,50,-0.0182
C,CITIGROUP INC,2010.0,Q2,2009-06-30,10-Q,2010-08-06,,,6842000000.0,,,,,,,,,,,402,1,-41.92,-115.46000000000001,-82.67,0.0,,,,,,50,
C,CITIGROUP INC,2010.0,FY,2009-12-31,10-K,2011-02-25,,,,,364019000000.0,-7579000000.0,,12314000000.0,5405000000.0,,-7353000000.0,1856646000000.0,1701673000000.0,421,1,-81.96,-277.12,2.63,-4.22,-1.4022,,,2.2783,3.388,70,-1.4854
C,CITIGROUP INC,2011.0,FY,2009-12-31,10-K,2012-02-24,,,27902000000.0,,,-1606000000.0,,47822000000.0,80285000000.0,152700000000.0,-6733000000.0,,,785,1,167.89000000000001,-137.53,298.55,-1.69,-0.02,,,0.5957,-0.3938,65,-0.128
C,CITIGROUP INC,2011.0,FY,2010-06-30,10-K,2012-02-24,,,,,,2697000000.0,,11866000000.0,22071000000.0,,812000000.0,,,604,1,-72.50999999999999,-267.93,-75.19,-3.2199999999999998,0.1222,,,0.5376,-0.5244,50,0.0142
C,CITIGROUP INC,2013.0,FY,2011-12-31,10-K,2014-03-03,,,24209000000.0,,,11067000000.0,,50250000000.0,77331000000.0,,3575000000.0,,,793,1,320.94,745.45,302.93,-1.05,0.1431,,,0.6498,-0.2722,50,-0.0051
C,CITIGROUP INC,2013.0,FY,2012-06-30,10-K,2014-03-03,,,,,,2946000000.0,,11994000000.0,18387000000.0,,718000000.0,,,611,1,-76.22,-73.38,-76.13,-1.44,0.1602,,,0.6523,-0.2666,50,0.012
C,CITIGROUP INC,2015.0,Q1,2015-03-31,10-Q,2015-05-11,,,,,210522000000.0,,,10884000000.0,,214620000000.0,,1831801000000.0,1615778000000.0,41,1,0.0,0.0,-20.61,-4.08,,0.9809,,,,50,
C,CITIGROUP INC,2016.0,Q1,2015-03-31,10-Q,2016-05-02,,,3028000000.0,,,,,,,,,,,398,1,0.0,0.0,-29.880000000000003,-4.08,,,,,,50,
